ts_code,name,concept,business,q_np_change
000820.SZ,*ST节能,"节能环保,环保",钢铁、有色行业节能环保工程咨询、设计、设备供货和EPC总承包业务,65.30%
000878.SZ,云南铜业,"铜,稀缺资源,基本金属,参股期货,黄金概念",生产和销售电解铜及其加工品为主,76.90%
000923.SZ,河钢资源,"雄安新区,北京冬奥,铁矿石,京津冀","矿业开发及矿产品加工、销售,工程机械产品及配件的生产、销售",192.10%
000928.SZ,中钢国际,"中字头,低碳冶金,口罩,一带一路,专业工程,节能环保,3D打印,医废处理,碳交易",工程技术服务和设备集成及备品备件供应业务。,61.40%
000933.SZ,神火股份,"煤化工,铝,稀缺资源",煤炭、发电(自发自用)、氧化铝、铝产品的生产、加工、销售。,671.70%
000953.SZ,*ST河化,"氮肥,壳资源",尿素、复混肥、液体二氧化碳。,-47.10%
000959.SZ,首钢股份,"普钢,低碳冶金,创投,一带一路,京津冀,太阳能,雄安新区",钢铁冶炼、钢压延加工。,448.70%
000962.SZ,东方钽业,"小金属,稀缺资源,其他金属新材料,燃料电池,太阳能,超导概念,新材料",稀有金属材料钽、铌及铍合金的冶炼、加工与销售。,269.80%
000975.SZ,银泰黄金,"黄金,黄金概念,小金属",贵金属和有色金属矿采选及金属贸易,6.70%
000980.SZ,*ST众泰,"无人驾驶,氢能源,乘用车,新能源车",汽车整车生产制造。,39.30%
000983.SZ,山西焦煤,"煤炭开采洗选,稀缺资源","煤炭的生产、洗选加工、销售及发供电,矿山开发设计施工、矿用及电力器材生产经营",51.70%
001202.SZ,炬申股份,"次新股,物流",有色金属多式联运业务、直运业务及仓储业务,3.70%
001203.SZ,N大中,"基本金属,铁矿石",铁矿石采选、铁精粉和球团的生产销售以及机制砂石的加工销售。,561.70%
002046.SZ,国机精工,"国产芯片,半导体,中芯概念,军工,基础件,风能,航天概念","涵盖轴承行业、磨料磨具行业及相关领域的研发制造、行业服务与技术咨询、贸易服务等,从业务类别,可分为轴承业务板块、磨料磨具业务板块、贸易及工程服务板块。",226.80%
002052.SZ,*ST同洲,"智能电视,北斗导航,视听器材,壳资源,影视概念,深圳特区,国家安防,广电,小米概念,国产软件","数字电视接收设备的研制和生产,网络、计算机、通讯、广电设备、软件研制生产及其系统集成,以及LED 电子显示屏的生产经营。",30.70%
002076.SZ,*ST雪莱,"独角兽,病毒防治,创投,LED,电商概念,新能源车,节能环保,新能源,新材料,锂电池",节能灯及配套电子镇流器、紫外线光源及配套电子镇流器、汽车氙气大灯及配套电子镇流器、陶瓷金卤灯及配套电子镇流器以及LED、台灯、空气净化系列产品,-5.50%
002086.SZ,*ST东洋,"体外诊断,基因测序,精准医疗,冷链物流,海洋渔业,海洋经济,水产养殖,食品安全","海洋水产品加工和海水养殖,海洋水产品加工业务产品主要包括冻红鱼片、冻鳕鱼片和冻真鳕鱼片等,海水养殖业务主要产品包括海带苗、大菱鲆、牙鲆鱼和海参等产品。",39.60%
002104.SZ,恒宝股份,"区块链,数字货币,互联金融,物联网,ETC,通信终端设备,长江三角,eSIM,华为概念,移动支付",磁条卡、密码卡和IC卡等卡类产品及其相关操作系统(COS)和票证产品的研发、生产和销售。,68.10%
002113.SZ,*ST天润,"网络游戏,游戏娱乐",移动网络游戏的研发及运营、移动游戏的代理运营和推广、从事运营商计费业务、广告精准投放业务和物业租赁等。,-40.90%
002147.SZ,*ST新光,"长江三角,房地产开发,智能机器,风能",房地产开发和商业经营,75.60%
002162.SZ,悦心健康,"健康中国,辅助生殖,二胎概念,医疗美容,陶瓷,养老概念,长江三角",时尚健康建材、医疗服务、养老服务、投资性房地产租赁等,41.20%
002168.SZ,惠程科技,"区块链,充电桩,手游概念,字节概念,大数据,体育产业,新能源车,云游戏,智能电网,深圳特区,游戏娱乐,网络游戏,3D打印",电气业务、互联网综合服务,-231.90%
002172.SZ,澳洋健康,"健康中国,口罩,二胎概念,医疗美容,冷链物流,工业大麻,精准医疗,长江三角,粘胶纤维","粘胶短纤、棉浆粕的生产销售,以及蒸汽电力的供应。",100.30%
002173.SZ,创新医疗,"二胎概念,医疗服务,长江三角,免疫治疗","珍珠饰品加工生产,批发零售和医疗服务",29.00%
002175.SZ,*ST东网,"智能电视,虚拟现实,影视概念,超清视频,仪器仪表",从事数显量具量仪及相关产品的生产、销售与研发。,47.80%
002177.SZ,御银股份,"区块链,数字货币,创投,互联金融,生物识别,壳资源,专用计算机设备",主要业务为ATM设备及相关系统软件的研发、制造、销售和运营服务。,-130.80%
002192.SZ,融捷股份,"其他专用机械,锂电池,稀缺资源",专业沥青产品的开发、生产与销售。,127.90%
002219.SZ,*ST恒康,"独家药品,医疗服务,中药",医疗服务、药品制造、日化品及保健品,21.30%
002245.SZ,蔚蓝锂芯,"国产芯片,创投,LED,物流,长江三角,MiniLED,氮化镓,锂电池",金属物流、LED及锂电池,1104.50%
002247.SZ,*ST聚力,"长江三角,手游概念,游戏娱乐,创投",中高端建筑装饰贴面材料业务和移动游戏广告等文化娱乐业务,172.80%
002248.SZ,华东数控,"煤化工,铁路基建,机床设备,核能核电,智能机器,太阳能",研发、生产经营数控机床、数控机床关键功能部件(数控系统、编码器、高速精密机床主轴、刀库等)及普通铣床、普通磨床等。,118.20%
002269.SZ,美邦服饰,"抖音小店,二胎概念,新零售,电商概念,服装,长江三角",美特斯邦威品牌系列休闲服的设计及销售。,28.60%
002274.SZ,华昌化工,"煤化工,长江三角,氢能源,燃料电池,复合肥,化工原料","公司是一家以煤气化为产业链源头的综合性化工企业。煤化工是以煤为原料,经过化学加工使煤转化为气体、液体、固体燃料及化学品,进一步生产出各种化工产品的工业。公司产业链总体分为三个部分:一是基础化工产业,以煤制合成气(主要成分CO+H2),生产合成氨、尿素、纯碱、氯化铵、硝酸等;二是化学肥料产业,使用煤化工生产的产品生产新型肥料等;三是新材料产业,以合成气与丙烯等为原料,生产新型材料,后续产品为醇类、增塑剂、树脂、涂料等。近年来公司一直致力于探索氢资源能源利用及新用途,促进产品及产业升级;报告期,通过合作在氢能源领域做出了积极地探索与布局。",32111.30%
002316.SZ,亚联发展,"区块链,特高压,电子车牌,物联网,智慧政务,ETC,大数据,数据中心,新零售,壳资源,智能电网,深圳特区,华为概念,移动支付,云计算,通信配套服务,5G概念,工业互联","公司智慧经营领域主要从事第三方支付业务及金融科技业务,公司智慧专网领域主要为能源、交通等行业提供信息通信技术解决方案。",45.70%
002330.SZ,得利斯,"电商概念,冷链物流,肉制品,猪肉概念,地摊经济","生猪屠宰,生产及销售冷却肉及冷冻肉、低温肉制品、酱卤肉制品、发酵肉制品及其他肉制品;蛋制品、速冻面米食品、速冻肉制品及其他速冻食品、糕点、其他食品;饮料(蛋白饮料、其他饮料)、调味料、食用动物油脂(食用猪油)、动物副产品、食品机械及配件。货物进出口业务。批发、零售钢材、五金工具、预包装食品兼散装食品",8.20%
002348.SZ,高乐股份,"手游概念,二胎概念,在线教育,娱乐用品,智能机器,盲盒经济,人工智能","电子电动塑胶玩具的研发、生产和销售,产品涵盖电动火车、线控仿真飞机、机器人、电动车、女仔玩具及磁性学习写字板等诸多系列,为市场提供科技含量高、品质优良的玩具产品。",-38.90%
002355.SZ,兴民智通,"无人驾驶,大数据,工业大麻,新能源车,5G概念,车联网,汽车零部件","汽车钢制车轮的研发、制造和销售,主要产品包括无内胎钢制车轮、工程机械钢制车轮、卡车钢制车轮、农用运输钢制车轮等。",65.40%
002378.SZ,章源钨业,"钨,小金属,稀缺资源,稀土永磁",钨产业链上相关产品(包括APT、氧化钨、钨粉、碳化钨粉、钨材、硬质合金及其工具等)的冶炼、加工、研发和销售。,97.50%
002408.SZ,齐翔腾达,"氢能源,降解塑料,聚氨酯","对石油加工副产品碳四进行深加工以转化成高附加值精细化工产品业务,主要研发、生产和销售的产品有甲乙酮、MTBE、异丁烯、叔丁醇等,其中甲乙酮为公司主导产品。",255.60%
002418.SZ,*ST康盛,"其他专用机械,超级电容,新能源车,氢能源,燃料电池,石墨烯,锂电池",家电制冷配件和新能源汽车两大业务版块,166.70%
